6,6
16,16
32,32
16,16
31,31
11,11
18,18
17,17
20,20
8,8
14,14
45,25
84,27
62,20
73,3
98,22
89,14
92,18
104,18
93,6
107,19
99,11
118,26
105,5
107,17
101,6
124,30
149,30
154,4
168,17
182,31
162,9
191,28
180,2
192,15
195,8
224,29
215,17
226,22
227,26
195,4
229,28
221,27
231,33
228,27
227,31
201,4
228,9
206,2
263,24
263,9
298,15
323,20
310,9
333,34
315,10
327,25
307,3
335,26
338,20
336,19
339,22
329,12
345,30
331,18
321,11
333,4
346,28
335,20
327,8
324,16
344,25
306,26
276,4
262,9
271,31
233,10
223,22
225,21
206,24
187,7
186,5
200,17
197,8
189,9
196,18
204,28
188,8
215,24
193,10
197,16
206,26
201,19
218,24
190,7
207,19
185,20
170,7
159,8
158,6
170,19
170,16
155,2
161,11
182,24
163,6
162,8
157,12
124,9
137,18
143,15
143,30
133,22
140,28
136,30
119,14
113,10
110,12
122,27
112,22
100,11
96,3
93,3
85,6
103,22
104,31
97,26
74,14
76,19
76,23
75,29
73,31
47,6
60,23
51,33
59,87
52,68
32,77
40,97
41,103
18,82
37,119
12,95
14,108
31,124
12,104
17,118
28,121
16,109
9,105
13,129
16,163
17,172
19,173
31,187
30,195
14,189
21,200
26,214
23,215
3,203
2,180
30,207
3,190
10,205
14,212
3,178
32,206
5,192
21,216
10,208
21,196
26,205
5,195
13,206
11,208
19,220
10,206
32,229
23,237
31,234
4,244
22,274
8,292
9,317
2,309
26,304
8,281
18,276
11,255
30,257
22,218
16,219
14,199
27,192
28,194
43,197
41,198
69,211
103,208
104,210
76,189
91,221
115,233
105,168
122,180
117,177
126,152
119,141
101,120
117,133
145,133
156,112
176,124
175,121
173,114
172,98
195,97
197,103
191,83
195,75
212,74
227,75
220,63
224,72
218,41
225,47
211,20
212,15
210,7
207,5
205,3
235,29
218,12
194,11
190,13
207,24
199,17
190,4
185,6
200,20
184,2
211,26
205,17
199,14
196,12
186,8
202,20
211,19
194,11
195,3
188,20
196,30
181,23
181,31
176,26
181,29
175,25
166,14
167,10
182,28
160,2
173,23
124,5
137,13
135,10
143,28
153,21
132,22
145,23
129,23
107,6
112,13
126,31
112,19
118,22
93,2
92,3
101,19
92,11
82,9
84,14
74,17
80,19
63,5
73,23
59,13
51,10
59,22
41,6
50,24
41,15
36,11
48,29
26,15
39,29
28,20
31,24
10,7
15,18
8,6
9,6
21,23
1,3
1,1
6,6
0,3
30,30
22,22
13,11
32,26
4,7
22,20
24,21
15,17
16,18
24,27
14,14
15,15
25,27
